#{"t_start": 1610368009.3488455, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-305.057256,87,2.332553
-440.597985,95,2.406566
-513.773396,110,3.105068
-112.068974,57,3.359972
-513.510133,74,3.615205
-290.292067,52,3.650209
-298.603429,51,3.882669
-625.179162,72,3.93389
-223.743257,51,4.18889
-100.218536,64,4.445713
-436.878994,63,4.493752
-122.773945,54,4.742805
-461.335322,72,5.01528
-383.231175,57,5.056269
-173.255285,74,5.394875
-343.310302,62,5.436872
-422.608181,59,5.692875
-543.791161,73,5.965083
-653.419673,73,6.015083
-190.190592,86,6.291395
-530.288132,60,6.55389
-394.173617,62,6.813027
-489.398468,55,6.851995
-617.08761,70,7.138106
-616.628697,69,7.41895
-445.411597,52,7.457827
-505.313502,63,7.722654
-686.539053,75,7.775689
-339.891797,51,8.029654
-778.7723,81,8.337046
-512.779499,78,8.610282
-466.122404,52,8.646245
-478.94094,58,8.922623
-443.857733,59,8.966962
-600.76283,67,9.228481
-515.165886,58,9.268515
-485.116795,73,9.566517
-878.961098,82,9.835562
-477.35338,59,10.080559
-601.551908,112,10.385893
-484.930441,57,10.428893
-447.608796,52,10.716893
-342.85368,55,10.760894
-559.354078,63,11.096892
-379.871577,56,11.455436
-362.472011,49,11.499437
-480.773003,51,11.842772
-522.647015,63,11.908772
-750.553189,79,12.300771
-503.797137,74,12.664904
-559.095727,73,12.7344
-453.699325,51,13.043231
-801.803887,75,13.335912
-1123.804958,98,13.641695
-690.120598,67,13.691971
-902.859579,77,13.972919
-527.910436,65,14.234479
-457.639915,60,14.278445
-467.361704,74,14.550522
-566.863516,64,14.825452
-825.704516,85,15.136627
-553.804688,74,15.198542
-457.98786,51,15.474411
-548.307178,66,15.75896
-653.870521,62,15.809529
-794.632054,67,16.082269
-910.886203,78,16.36347
-873.263034,76,16.423437
-899.234094,77,16.703109
-600.945907,62,16.966107
-382.09927,81,17.250325
-751.360712,61,17.299325
-871.128385,84,17.586804
-714.519376,59,17.859187
-939.362001,80,17.924569
-498.989285,60,18.19516
-752.771133,57,18.450969
-1031.108173,84,18.530297
-754.282939,61,18.812397
-807.212893,65,19.113585
-646.619987,73,19.17315
-701.729632,79,19.471051
-692.571909,65,19.758814
-738.773145,56,19.806928
-1294.906899,101,20.126384
-808.970503,81,20.407427
-662.679823,65,20.6808
-769.412839,63,20.733847
-994.350151,135,21.301971
-942.422626,80,21.581662
-1100.989127,95,21.880269
-1270.714584,98,22.194764
-1205.656617,97,22.491648
-1788.505422,126,22.821739
-1243.883986,93,23.115513
-1250.258801,95,23.411479
-1992.008757,133,23.755046
-1086.413806,97,24.073023
-875.588717,74,24.354206
-1267.288019,97,24.653971
-1056.426319,88,24.949033
-696.702145,79,25.016225
-968.906894,86,25.311687
-720.894837,69,25.584611
-849.661886,72,25.864567
-908.654602,78,25.931087
-1224.671023,94,26.22867
-1381.652365,103,26.544063
-1362.478506,101,26.848238
-779.178785,59,27.133941
-1385.046575,102,27.442818
-752.255464,57,27.710701
-764.888042,83,27.782704
-1102.324701,87,28.079951
-1133.877147,88,28.37648
-684.004305,88,28.673482
-954.940411,79,28.965572
-781.874034,57,29.015666
-1144.277679,100,29.318858
-808.143478,67,29.59489
-962.218065,93,29.899159
-873.602722,73,30.197158
-804.210561,69,30.257317
-876.692231,75,30.540616
-1535.06961,112,30.857872
-918.643651,81,31.15168
-598.42916,76,31.450167
-808.922723,66,31.503984
-863.639017,74,31.782539
-1017.691739,86,32.080287
-695.764751,56,32.347075
-703.311839,58,32.394048
-716.97363,56,32.659043
-1168.719169,95,32.964821
-1042.056533,95,33.357866
-830.419455,70,33.414898
-1312.355467,98,33.720127
-615.912864,67,33.997947
-469.881186,68,34.271286
-460.083177,50,34.306287
-715.965733,77,34.645008
-496.607132,61,35.070843
-703.94945,77,35.184625
-712.486988,76,35.518217
-442.143809,50,35.875788
-545.485113,56,35.936791
-750.595219,78,36.329621
-501.360302,68,36.638255
-466.442569,72,36.707221
-1159.614673,153,37.393713
-772.97855,81,37.70547
-710.089705,72,37.761467
-664.825692,66,38.072138
-862.364638,82,38.359448
-460.660396,76,38.639744
-545.687753,59,38.681781
-674.238254,69,38.958171
-640.863964,69,39.235757
-793.650298,79,39.294755
-875.371065,84,39.582206
-769.619875,75,39.857393
-780.207009,82,40.156752
-1562.793288,201,40.805934
-501.548196,66,41.08322
-883.179122,90,41.154486
-587.082005,61,41.425526
-526.318817,74,41.708354
-680.149422,71,41.76205
-466.334473,71,42.050375
-918.494156,84,42.35452
-483.847248,65,42.625221
-1068.570909,101,42.937544
-799.134408,87,43.263307
-575.298362,68,43.313586
-813.07429,88,43.619978
-708.562504,73,43.896058
-755.262331,93,44.192924
-894.249018,82,44.473926
-567.254154,64,44.521782
-1707.802514,172,45.131555
-771.91986,85,45.422976
-1031.77274,149,45.789737
-1027.757612,88,46.083723
-766.650518,81,46.404065
-515.83585,65,46.672427
-740.185082,77,46.729393
-579.732693,60,47.01982
-1101.569339,101,47.318071
-1059.265443,98,47.619568
-1133.360912,103,47.924325
-734.138846,80,48.216207
-783.09992,76,48.499206
-665.253671,86,48.571224
-866.103633,87,48.859227
-691.919584,69,49.134738
-870.061955,89,49.451086
-1019.73253,92,49.75207
-1129.30523,101,50.057985
-549.451053,67,50.110621
-480.949704,77,50.420237
-726.896427,75,50.701084
-552.460169,60,50.974118
-616.014689,64,51.023085
-744.997402,82,51.312544
-654.857759,71,51.587386
-767.81243,79,51.874946
-620.307662,65,51.921946
-1030.85324,87,52.215151
-774.75647,80,52.517118
-754.869168,85,52.830712
-820.723232,79,53.137247
-441.538898,72,53.196955
-524.541126,72,53.489164
-750.578064,82,53.782138
-493.625715,74,54.063104
-539.538387,58,54.105829
-811.296827,82,54.414497
-1016.904232,95,54.711266
-1122.511691,107,55.028189
-604.461889,66,55.316968
-537.649863,93,55.63537
-709.750582,73,55.684593
-838.998382,81,55.98518
-1012.715326,96,56.289379
-910.714841,91,56.588754
-604.714611,64,56.865706
-571.125404,59,56.908703
-917.344245,92,57.208672
-776.512988,84,57.515048
-684.516379,80,57.806659
-775.822011,78,58.110315
-479.403419,71,58.169893
-722.954332,81,58.459543
-460.342844,84,58.761508
-609.094345,73,59.05253
-1254.876526,106,59.367258
-640.593376,68,59.420258
-830.190872,85,59.710438
-917.836045,90,60.029556
-674.884561,69,60.306627
-478.900515,53,60.345628
-564.052288,63,60.641177
-753.471523,85,60.936003
-801.312856,78,61.238937
-963.349241,97,61.550695
-455.12141,51,61.588031
-723.766162,80,61.897516
-782.875523,84,62.195914
-485.286125,77,62.257832
-700.274118,76,62.550986
-925.239701,92,62.856735
-864.189721,92,63.165332
-699.872394,80,63.466418
-884.355849,90,63.781203
-716.59539,77,64.069299
-591.663845,64,64.116299
-508.604152,56,64.385617
-1010.620993,94,64.696481
-558.84015,63,64.748523
-726.46391,79,65.105083
-464.331666,72,65.390048
-732.106773,83,65.7083
-705.567988,81,65.776459
-1011.979297,94,66.078419
-988.120244,104,66.392668
-545.490321,75,66.683726
-678.738918,83,66.977693
-663.864616,78,67.267966
-757.341845,82,67.566937
-729.548243,80,67.630969
-766.862141,78,67.927617
-528.269842,57,68.219137
-902.36719,92,68.523043
-716.728825,80,68.58714
-653.069336,71,68.86729
-857.455612,82,69.183404
-632.403359,82,69.478649
-931.783713,104,69.791951
-782.434659,82,70.086954
-843.801506,89,70.381953
-795.856068,85,70.447917
-474.620686,70,70.746769
-976.302101,93,71.095799
-905.332446,83,71.558944
-849.246708,80,71.975769
-942.818074,95,72.408744
-767.699719,81,72.50568
-995.496352,97,72.903845
-766.461505,80,73.224846
-744.10917,77,73.555464
-517.332157,67,73.886211
-495.666223,91,74.234151
-610.197817,76,74.302997
-433.487041,72,74.622019
-971.22153,94,74.97272
-765.559426,78,75.298866
-616.009133,64,75.3499
-781.68347,83,75.68594
-475.883135,55,76.008178
-803.67834,77,76.319252
-549.298933,60,76.375253
-866.792727,86,76.821217
-648.657911,78,77.21355
-691.602774,74,77.556692
-643.315425,77,77.622943
-614.055231,65,77.957107
-749.578228,81,78.357588
-773.05287,83,78.68262
-441.233271,50,78.721539
-476.659514,69,79.034539
-558.236391,70,79.329713
-2257.647802,201,80.05101
-760.953,81,80.12058
-784.845732,85,80.464142
-653.867479,74,80.785835
-1049.319258,88,81.122836
-664.862911,71,81.431757
-675.696473,70,81.485723
-616.380477,67,81.902939
-571.210397,59,81.967941
-684.199071,78,82.525291
-746.348215,84,82.926057
-754.080079,79,83.266586
-1114.953359,136,83.713564
-599.710386,60,84.0223
-802.551813,88,84.358344
-803.7786,82,84.679748
-759.706989,84,84.752913
-773.916015,83,85.057707
-556.993909,59,85.337672
-600.538647,75,85.639673
-553.862263,75,85.70067
-506.853454,67,85.994872
-749.915574,80,86.350833
